Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1000000,45.7,-23.5,,Twenty-three,23.7,NULL,27.6,21.8,17.7,20.1,24
2,23.5,47.3,46.7,55.5,117,24.3,44.5,27,21.5,17.7,19.4,25.1
3,22.9,48.6,46.9,60.6,114,24.7,44.5,27.2,20.9,17.6,19,25.3
4,22.7,48.9,48.1,66.9,112,25.2,44.2,27.4,19.9,17.1,19,25.7
5,23,48.7,49.2,71.8,105,25.3,43.5,27.5,19.2,16.8,18.8,26.3
6,23.9,48,47.7,78.6,98.5,27.1,42.7,28.2,19.2,16.4,18.6,26
7,24.9,46.9,50,88.2,94.1,28.4,40.6,28.7,19.8,15.8,18.3,25.4
8,29.1,45.9,51.3,98.3,89.9,28.8,39,30.5,20.3,15.3,18.7,24.9
9,38.4,45.4,49.6,109,84.8,29.2,38.3,29.7,20.7,15.8,19.1,24.4
10,47.7,45.4,50.7,125,79.1,29.9,36.6,29.1,20.7,15.4,19.3,23.9
11,56.4,44.2,52.7,141,74.2,29.6,34.5,29.6,20.2,14.9,19.2,25.2
12,68.4,42.8,53.8,163,70,28.9,31.9,31,19.8,14.7,19.7,24.8
13,78.2,42,53.8,179,66.6,28.4,30,31.4,19.2,14.3,20.8,25.4
14,82.3,41.4,53,192,63.3,28.8,29.2,30.7,19.3,14.6,21.7,26.7
15,82.5,40.9,52,201,59,29.1,28.6,29.6,19.5,14.3,21.7,28.1
16,80.4,40.7,51.4,201,54.7,29.5,28.3,28.9,20,14,22.2,29.5
17,77.4,43.6,50.5,194,48.4,29.7,28.2,27.9,20.8,14,22,30.1
18,74.9,46.1,49.8,186,43.2,30.8,28.8,27.5,20.9,14,22.4,30.4
19,72.2,48.8,50.4,182,39.8,34.5,31.2,27.9,20.5,14.2,23.1,30.6
20,69.9,50.1,50.8,183,37.2,38.3,33.2,27.8,19.5,14.3,22.7,32.3
21,66.6,51.7,51.5,185,35.2,39.4,34.1,27.4,18.2,15,21.8,33.9
22,63,51.9,51.8,185,33.7,39.7,34.9,26.7,18.2,15.7,20.7,34.8
23,61.1,51.8,52,181,32.7,40.3,35.2,26.2,18.3,15.9,19.9,35.1
24,59.2,51.4,52.3,172,31.4,41,34.7,25.4,18.6,16.2,19.4,36.6
25,57.4,50.5,52.8,159,30.6,40.9,34.6,24.6,18.9,17,19.8,38.3
26,55.5,49.5,52,146,29.1,40.4,33.8,24.1,18.6,19.5,21,38.9
27,54,48.7,51.3,138,27,40.2,33,23.6,18.4,21.4,22.1,39.4
28,52.5,47.8,50.4,130,25.4,40.1,31.8,22.9,18.2,22.6,22.9,41.2
29,51.2,47.2,49.1,125,23.8,42.6,30.8,22.9,17.4,23.5,23.1,45.2
30,51,0,47.6,122,22.3,44.1,29.9,22.8,17.8,22.1,22.9,48.4
31,47.1,0,46.6,0,22.7,0,28.6,22.3,0,21.2,0,50.2
