Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,35.2,38.3,67.5,54.7,189,22.9,12,9.03,6.9,7.15,8.16,27.8
2,34.9,37.7,69,57,180,21.5,11.8,9.32,6.93,7.22,9.59,29.8
3,34.5,36.7,69,57.4,168,20.6,11.6,8.86,7.06,7.28,11.3,32.3
4,34.2,36.1,68.3,60.4,158,22.5,11.3,8.47,6.96,7.28,12.1,34.6
5,33.8,35.9,66.9,61.9,149,23.9,10.9,8.1,7,7.12,12,36
6,33.4,35.8,64.7,61.7,141,24.8,10.2,7.72,6.77,6.96,12.5,37.4
7,33.1,35.5,62.3,62.4,133,25.5,10.2,7.48,6.62,6.78,13.4,37.4
8,32.7,34.6,60.1,61.3,125,25.2,9.85,7.37,6.22,7.08,13.3,36.9
9,32.4,35.4,58.5,59.5,116,24.4,9.58,7.39,6.14,8.62,13,37
10,32,36.7,57,57.5,107,23,9.07,7.17,6.12,8.99,13.9,37.1
11,32,37.1,55,55.5,99.3,21.5,8.8,6.98,6.35,9.36,13.8,36.3
12,34.7,37.2,52.6,53.7,91.8,20.6,8.51,6.77,6.4,9.53,13.5,36.1
13,41.7,36.9,50.3,54.6,84.9,20,8.28,6.68,6.37,9.14,13.6,36
14,48,36.5,49.3,57.5,78.6,19.7,8.17,6.67,6.39,8.64,13.6,35.7
15,54.8,36.3,48.7,60.9,72,19.1,8.11,6.63,6.39,8.25,13.1,35.8
16,54.4,37.1,47.4,66.2,66.8,18.9,8.06,6.54,6.35,8.16,13.1,36.3
17,49.9,37.4,46,75.5,60,18.3,7.96,6.51,6.27,7.73,13.6,36.9
18,47.5,37.1,44.3,84.8,54.8,17.3,7.81,6.44,5.92,7.49,13.3,36.1
19,45.9,36.8,43,92.8,50,16.5,7.72,6.38,6.06,7.46,13.7,35.3
20,44.7,37.9,41.7,97.2,45.1,16.1,7.45,6.3,6.29,7.15,14.3,36
21,44.1,45.3,40.2,99.8,40.7,15.3,7.11,6.31,8.15,6.89,14.5,40.1
22,44.1,49.6,39.4,101,37.6,14.7,6.68,7.05,8.45,6.65,13.9,47.4
23,44.2,50.7,38.7,101,35.3,13.9,6.73,7.08,8.18,6.45,13.2,51.5
24,43.8,52.8,38,103,33.8,13.5,6.77,6.9,8.04,6.42,13.4,53.2
25,43.6,56.3,37.1,107,32.4,13,7.51,6.69,8.29,6.42,14.1,56.6
26,43.4,60,36.2,122,30.9,12.9,7.83,6.52,8.32,6.45,14.9,59.6
27,43.4,63.9,36,139,29.7,12.7,7.59,6.42,7.98,6.13,18.1,60.7
28,43.3,65.7,36,161,28.4,12.8,7.48,6.53,7.62,6.85,21.2,60.4
29,43.1,0,37.3,181,26.6,12.6,7.91,6.76,7.44,7.04,23.5,60.1
30,41.9,0,43.7,190,25.1,12.3,8.5,6.93,7.3,7.17,25.4,58.9
31,40.1,0,49.6,0,24.1,0,8.85,6.9,0,7.56,0,57.3
