Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,1500,22.6,-20,3,0,,0,NULL,Three point eight,1.6,0,1.4
2,0,0,1.2,0,3.8,0.4,2.8,19.6,0,0,0,0
3,0,0,3.2,0,3.2,1.2,13.6,0,1.6,0,0,2.8
4,0,4.4,10.8,3.2,0.6,0,0,0,0,0,0,0.6
5,3.8,0.2,11.2,0,0,24.8,0,12.4,9.6,0,0,1.8
6,4.2,12,0,0,0,0,0,0,12.2,0,0,5.6
7,17.6,0,15.8,0,7.8,0,0,4.4,3.4,0,3.4,1.2
8,5.2,0.2,32.6,0,0.6,9,0,4.6,6.2,4.2,2,3.6
9,0,6.4,0,0,0,5.6,9.6,10.8,3.4,0,0,25.2
10,0,0,0,0,0,2.8,9.4,0,0,0,0,0
11,2.2,0,4.2,20.8,0,0,0.4,1.2,0,0,0,0
12,0,11.6,0.4,3.6,0,0,3,0,2.6,0,0,0
13,3,0,1.2,0,0,0.8,1,3.8,6,0,4,1
14,7.6,6.6,0,0,1.2,0,0.6,0,9.2,0,0.4,5
15,0,2.6,0,0,0,2.8,0,0,0,3.6,14.2,4
16,0,0,0,0,0,9,0,0,0,0,0,9.6
17,3.2,10.2,0,0,1.6,12.2,3.2,0,3.6,0,0,2
18,0,1.8,2.4,0,12.2,19.6,28.6,33,0,0,0.6,0
19,3.2,0,9.6,0,1.2,28,0.4,0,0,0,0,7.6
20,0,0,0,0,0,0,1.2,0,0,10.6,0,0.4
21,2.8,0,0,0,7,2.6,1.4,0,0,9.8,0,8.8
22,5,0,0,0,5,3.2,2.6,0,0,0,0,0
23,0,0,0,0.8,0,5,2.8,0,0,0,0,3.4
24,0,0,0,0,0,0,13.6,0,0,0,10.4,10.2
25,2.2,2.8,3.2,0.8,0.6,0,0,0,0,21.8,6,0
26,0.4,7.2,0,10,3.6,20.6,2.2,0,3,4,7.4,1.2
27,0.2,0,0,0.2,0,1.2,2,0,4.8,0.8,2,4.4
28,0,0,0,17.2,0,0,2.2,1,0.2,13,0,0.2
29,7,7.4,0,0,0,0,0,5,0,0,0,0.6
30,0,0,0,1,13.6,13.2,1,0,8.6,0,0,0
31,0,0,7.6,0,11.8,0,0.2,0,0,0,0,0
