Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.8,0.2,0,0,0,0.2,0,11,0,10.2,17.6,1.2
2,0.6,0.4,0.4,0,5.4,0,2.4,0,5.2,2.4,3.6,0.4
3,0.8,6.8,0,6.4,2.8,32.8,0,0,0,5.4,1.6,2.2
4,0,7.2,0,6.4,1.6,7,0,1,0,1.4,0,0.8
5,0,0.2,0,0,0,0.2,0,0,0.2,0,2,0.2
6,0,0.2,6.4,0,0,0,0,3,0,0.4,6.6,0
7,9,7.4,4,0,0,0,0,0.2,0,0,1.2,0
8,2.8,0.4,5.6,0,0,0,0,2.6,0,33.2,0.2,1.8
9,0,1.2,0,0,1.6,0,0,1.2,0,0,4.2,0
10,0,5.8,0,0,2.4,0,0,0,8.2,4.6,0,0.4
11,15.6,3.8,0,1,0,0,0,0,0,0.2,0.4,0.6
12,12.8,0,3.4,10.8,0,0,0,0,0,0,5.4,0
13,0,0,4.4,6,0,7.2,0.8,0,0,0,4.4,0
14,0,0,6.4,13.8,0.6,2.6,5,0.8,0,0,0,4.8
15,3.2,0,0,9,1,0,0,0,0,1.2,13.8,0
16,0.8,0.8,0,19.6,0,0,1,0.6,0,1,5.6,0
17,0.2,0.2,0,0.8,0,0,0,3,0,0,0,0
18,0,0,0,3.6,0,1,0,0,0,0,0.4,0
19,0.2,11,0,0,14.4,0,0,0,0,1.2,0.6,0
20,0,4.8,0,0,0,0,0,0,31.4,0,2.6,24.4
21,0,5.8,0,0,0,0,0.4,38.4,24.8,0,0,18.2
22,14.2,0,0,0,1.4,0,5.6,0,0,0.2,0,0
23,0,1.4,0,0,0,2.8,10.8,0,0,0,0,2
24,0,1.8,0,1,0,0,58.4,0,12.2,0,4.2,2.8
25,0,7.8,0,26.4,1.2,0,14.8,0.6,3.6,0,1,0
26,0,0,0,3.4,0,0,0,0,6.2,0,20.4,0.2
27,0.8,0,1.8,22.8,0,7.4,4.4,0.2,0,6.8,12.4,4.2
28,0,0,0,0.8,0,0.2,2.6,0,4.6,1.6,0,3.2
29,1,0,16.8,1.6,0,1.4,0,19.6,0.4,4.6,0,0
30,0.4,0,0,0,0,0,0,0,1.8,2.6,0,0.6
31,3.8,0,3,0,0.6,0,0,0,0,9.6,0,12.8
